Zero,One,Two,Three,Four,Five,Six,Seven,Eight,Nine,Ten,Eleven,Twelve,Thirteen,Fourteen,Fifteen,Sixteen,Seventeen,Eighteen,Class,Stability,Selected
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,continuous,discrete
,,,,,,,,,,,,,,,,,,,class,ignore,meta
-0.132728804,-0.339973027,0.145654673,-0.259569213,1.840215365,-0.404434525,0.127992784,-1.958811836,-1.6296337,1.478567019,-0.62512776,0.343263263,1.287383206,0.003534937,0.318279555,0.649486524,0.050030177,0.249058899,-0.449609148,0,1,No
-0.680716155,0.109123393,0.096865037,-1.391135424,0.961020312,-2.027484231,-0.560878006,2.991801888,-0.664517294,1.035377743,-0.115972669,-0.549735964,1.143269957,0.083862804,0.05308428,-1.027975595,0.029679716,0.769796078,1.415820008,1,1,No
0.561262754,-2.42010624,-0.330730893,1.648264767,-1.34753032,-0.389072421,1.253802067,0.568112683,0.544785289,-1.699527157,-0.86215967,1.416530371,-1.396526935,-2.625375453,0.001213827,1.046217215,0.605998322,-0.008749598,1.367800368,0,0.85,No
-0.804942809,-2.716378599,0.178349139,1.142209903,-2.366818104,0.602715931,0.812482547,-0.940217844,1.677102349,0.559145905,-0.288283569,1.482824694,-0.280260112,1.745049398,-0.616282547,2.864146252,-0.0193742,0.327728963,0.177943412,1,0.5,No
0.931245027,0.374291859,0.950176148,0.024455689,-1.028776535,0.559585115,-2.671831073,0.880126614,-0.364553102,0.928029288,0.898619076,0.199385084,0.977930806,0.221238227,0.273770856,-0.505317339,-1.595523379,-1.45105655,0.365625391,1,0.55,No
0.40225062,0.583841698,-0.534068422,-0.164991602,-0.403618884,0.131377907,-0.74138714,0.892594572,-0.301450858,1.172259541,-0.530939773,-0.574963351,1.062931587,0.751639525,-1.004313703,1.181201296,0.224627402,-0.6745022,-0.716875632,0,1,No
-0.157750572,0.003874034,0.452253862,1.006567985,-0.06366491,-0.959073289,-1.883320764,1.768391018,0.738774502,-1.292248798,2.553822356,1.439022014,-0.901581755,-0.657586751,0.50571356,3.357264985,0.012635104,-0.870077754,-0.912649002,0,1,No
-1.293519716,-0.469021938,0.261020426,-1.184638334,-0.014911541,-1.036521634,-0.11206986,-0.409302624,-0.418024771,0.022089887,-0.324102724,-1.971927423,-0.330317546,-0.217806672,-0.220723217,-1.104268356,0.04680963,0.105456949,1.809274574,1,1,No
1.428245889,-0.081894435,-0.12085144,0.453097104,-1.451144572,0.317066923,0.334923538,-0.125766596,-0.15684931,-0.047071747,-0.947731886,0.003526831,0.333430374,0.338186566,0.798760363,1.043690003,0.339506632,1.3165354,-1.713344016,0,0.75,No
0.237987236,1.122065429,-0.548816926,0.945070038,0.636831187,-0.301640878,-1.814406765,-0.370567478,1.865733447,-1.656850987,-0.976973635,0.048503821,0.34398996,-1.019405339,0.780750967,-2.361666513,-0.248482529,-0.592988791,-0.297157148,1,1,No
-0.139006096,-1.595340771,0.99337497,0.954649335,-0.790902292,-0.241878934,-1.046189387,0.151300946,0.081864089,0.031391136,-0.182314419,-0.486057855,-1.40196539,0.40990757,1.387445268,0.513055208,1.278172091,0.274154014,0.723013309,0,0.75,No
0.558453752,-0.943816723,-0.410472521,0.048560064,0.105868681,-0.577385608,-0.549067569,-1.074959222,-0.417932857,0.836370217,0.773341106,-0.421931106,-0.880732601,-1.081731747,-1.673270453,-0.857852385,-1.003433824,0.122879184,-1.178977562,1,1,No
-1.588538394,-0.499931059,1.081505006,2.166021537,-0.371971477,0.05260443,-1.012848387,0.964087933,0.43104558,-2.280307484,-0.324130841,-1.971433595,0.896612208,0.280789603,1.743672437,-1.436326558,-0.784599515,0.37612793,-1.752286979,1,1,No
-1.336924103,-0.640020974,-0.045881944,-0.60659792,2.749232066,1.34355408,0.64391889,-0.134871836,-1.254578838,0.853233229,1.133205448,-0.203282506,-0.006067518,-0.599910578,1.45872212,-0.163950882,0.254401974,-0.32337545,0.320927162,1,0.4,No
0.751790528,0.456721428,0.136691509,1.565216859,0.474457012,-1.130177897,-1.375384745,1.786263492,0.157245085,-0.358167051,-0.427013776,0.633934336,-0.244632999,-2.153911248,-0.515328178,-1.823911826,1.524468547,-1.288926586,2.054497535,1,1,No
